시/도,구,단지명,URL,전용면적,평수,층,시군구,실거래가,매매_계약일자,매매최고가,갭투자구분,갭투자금액,전세가율,전세가,전세_계약일자
전라남도,해남군,해남코아루더베스트1단지아파트 ( 2019년),https://new.land.naver.com/complexes/115954,84.951㎡,31A평,9층,해남읍 해리,3억1천500,2024.03.13,3억6천300,전세낀매수,2억500,34,1억1천,2021.10.22
전라남도,해남군,구교센트럴파크아파트 ( 2019년),https://new.land.naver.com/complexes/125135,83.9313㎡,32A평,2층,해남읍 구교리,2억6천300,2024.01.31,2억9천500,전세낀매수,1억2천650,51,1억3천650,2022.02.25
전라남도,해남군,해남파크사이드아파트 ( 2015년),https://new.land.naver.com/complexes/116778,71.6922㎡,28B평,3층,해남읍 구교리,2억3천700,2024.01.06,2억3천800,전세낀매수,1억2천700,46,1억1천,2019.10.21
전라남도,해남군,성화누리안 ( 2012년),https://new.land.naver.com/complexes/109262,73.1145㎡,28A평,13층,해남읍 해리,2억3천500,2024.02.22,2억3천,전세낀매수,1억500,55,1억3천,2020.03.05
전라남도,해남군,공간 ( 2000년),https://new.land.naver.com/complexes/100907,59.981㎡,23평,2층,해남읍 구교리,1억1천500,2024.02.18,1억2천800,전세낀매수,6천500,43,5천,2013.11.14
전라남도,해남군,공간 ( 2000년),https://new.land.naver.com/complexes/100907,59.985㎡,23평,9층,해남읍 구교리,1억1천,2024.01.28,1억2천900,전세낀매수,4천500,59,6천500,2020.01.09
전라남도,해남군,구교주공 ( 1996년),https://new.land.naver.com/complexes/100911,49.65㎡,19평,3층,해남읍 구교리,1억,2024.03.09,1억1천,전세낀매수,6천,40,4천,2012.05.03
전라남도,해남군,구교2주공 ( 1999년),https://new.land.naver.com/complexes/101798,49.85㎡,21평,3층,해남읍 구교리,9천,2024.01.18,1억,전세낀매수,1천500,83,7천500,2023.12.15
전라남도,해남군,해성 ( 1991년),https://new.land.naver.com/complexes/101819,73.38㎡,22평,4층,해남읍 수성리,5천550,2024.03.20,7천400,전세낀매수,1천550,72,4천,2016.03.29
전라남도,해남군,미암 ( 1989년),https://new.land.naver.com/complexes/101806,52.17㎡,17평,5층,해남읍 해리,5천,2024.02.19,6천,전세낀매수,2천,60,3천,2014.02.13
전라남도,화순군,화순산이고운 ( 2016년),https://new.land.naver.com/complexes/109874,84.9114㎡,34평,9층,화순읍 삼천리,3억2천500,2024.03.19,3억7천900,전세낀매수,1억4천500,55,1억8천,2017.10.13
전라남도,화순군,화순삼천한양립스아파트 ( 2020년),https://new.land.naver.com/complexes/126378,84.9985㎡,33평,1층,화순읍 삼천리,3억500,2024.02.26,4억1천500,전세낀매수,5천500,81,2억5천,2022.01.15
전라남도,화순군,화순산이고운 ( 2016년),https://new.land.naver.com/complexes/109874,75.3647㎡,30평,9층,화순읍 삼천리,2억7천400,2024.03.14,3억2천500,전세낀매수,1억2천400,54,1억5천,2021.02.09
전라남도,화순군,화순삼천한양립스아파트 ( 2020년),https://new.land.naver.com/complexes/126378,59.9937㎡,24평,10층,화순읍 삼천리,2억5천500,2024.01.15,2억6천500,전세낀매수,4천500,82,2억1천,2022.09.30
전라남도,화순군,대성베르힐 ( 2009년),https://new.land.naver.com/complexes/105083,84.9276㎡,35평,5층,화순읍 대리,2억5천,2024.01.20,2억7천400,전세낀매수,7천,72,1억8천,2016.12.18
전라남도,화순군,한국아델리움 ( 2002년),https://new.land.naver.com/complexes/106429,84.7265㎡,37평,12층,화순읍 대리,2억1천900,2024.03.06,2억3천500,전세낀매수,9천400,57,1억2천500,2014.08.29
전라남도,화순군,대성베르힐 ( 2009년),https://new.land.naver.com/complexes/105083,84.9362㎡,32평,3층,화순읍 대리,2억1천500,2024.02.22,2억8천,전세낀매수,4천500,79,1억7천,2023.11.15
전라남도,화순군,금호타운 ( 1997년),https://new.land.naver.com/complexes/4936,84.745㎡,31평,2층,화순읍 만연리,1억8천500,2024.03.22,2억2천,전세낀매수,4천500,75,1억4천,2015.01.30
전라남도,화순군,금호타운 ( 1997년),https://new.land.naver.com/complexes/4936,71.467㎡,27평,10층,화순읍 만연리,1억8천300,2024.01.19,1억8천700,전세낀매수,6천300,65,1억2천,2015.03.03
전라남도,화순군,미륭 ( 1992년),https://new.land.naver.com/complexes/4938,84.95㎡,31평,6층,화순읍 광덕리,1억2천300,2024.01.19,1억6천,전세낀매수,300,97,1억2천,2021.07.17
전라남도,화순군,유창허니문맨션1 ( 1991년),,78.54㎡,27평,13층,화순읍 교리,1억1천400,2024.02.03,1억1천,전세낀매수,4천400,61,7천,2015.09.23
전라남도,화순군,유창허니문2차 ( 1993년),https://new.land.naver.com/complexes/14945,59.73㎡,23평,5층,화순읍 만연리,1억800,2024.02.28,1억2천,전세낀매수,2천800,74,8천,2016.12.07
전라남도,화순군,서라4차 ( 1997년),https://new.land.naver.com/complexes/102555,59.915㎡,23평,2층,화순읍 일심리,1억50,2024.03.16,1억2천,전세낀매수,2천50,79,8천,2022.05.24
전라남도,화순군,오성2 ( 1998년),https://new.land.naver.com/complexes/102118,59.825㎡,23평,15층,화순읍 계소리,9천100,2024.02.16,8천300,전세낀매수,4천100,54,5천,2021.07.30
전라남도,화순군,공간1 ( 1992년),https://new.land.naver.com/complexes/14942,84.99㎡,33평,1층,화순읍 교리,9천,2024.03.07,1억4천800,전세낀매수,3천,66,6천,2012.04.27
전라남도,화순군,청전 ( 1996년),https://new.land.naver.com/complexes/14944,59.99㎡,22평,1층,화순읍 일심리,8천800,2024.03.19,1억3천400,전세낀매수,800,90,8천,2018.10.13
전라남도,화순군,대광로제비앙 ( 1996년),https://new.land.naver.com/complexes/16946,49.8㎡,20평,8층,화순읍 대리,8천500,2024.03.21,9천100,전세낀매수,3천500,58,5천,2020.02.25
전라남도,화순군,서라4차 ( 1997년),https://new.land.naver.com/complexes/102555,54.825㎡,21평,12층,화순읍 일심리,8천300,2024.02.17,9천400,전세낀매수,1천300,84,7천,2015.04.23
