시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강동구,래미안솔베뉴(소형),https://new.land.naver.com/complexes/113432,2019.06.24.,"1,900세대(기타임대 156세대 포함, 총13동)",14억4천500,8억7천500,13억3천,13억5천,-6,44건,0건,7억5천,50,6억8천,5건
서울특별시,강동구,롯데캐슬퍼스트(국평),https://new.land.naver.com/complexes/22570,2008.09.25.,"3,226세대(40동)",16억,10억,13억4천,13억5천,-15,21건,0건,8억,53,6억4천,10건
서울특별시,강동구,고덕자이(소형),"https://new.land.naver.com/complexes?ms=37.5653,127.1561,16&e=RETAIL",2021.01.07.,"1,824세대(기타임대 75세대 포함, 총19동)",13억6천,8억3천,12억2천,13억,-4,15건,0건,6억8천,49,6억,8건
서울특별시,강동구,고덕센트럴IPARK(소형),"https://new.land.naver.com/complexes?ms=37.5653,127.1561,16&e=RETAIL",2019.12.30.,"1,745세대(기타임대 96세대 포함, 총19동)",14억5천,8억5천,12억2천,12억7천,-12,25건,0건,6억4천,45,5억7천,4건
서울특별시,강동구,고덕롯데캐슬베네루체(소형),https://new.land.naver.com/complexes/117309,2019.12.30.,"1,859세대(기타임대 97세대 포함, 총20동)",14억1천,9억,0,12억6천,-10,21건,0건,6억2천,41,5억8천,4건
서울특별시,강동구,래미안강동팰리스(소형),https://new.land.naver.com/complexes/107537,2017.07.31.,999세대(3동),14억9천500,10억2천,11억8천,12억5천,-16,9건,0건,7억,50,6억5천,6건
서울특별시,강동구,롯데캐슬퍼스트(소형),https://new.land.naver.com/complexes/22570,2008.09.25.,"3,226세대(40동)",13억2천,8억6천500,11억5천,11억9천,-9,20건,0건,5억8천,45,5억5천,4건
서울특별시,강동구,고덕숲아이파크(소형),https://new.land.naver.com/complexes/110765,2018.03.08.,"687세대(기타임대 27세대 포함, 총13동)",13억7천,9억1천,12억,11억8천,-13,24건,0건,6억2천,47,6억,4건
서울특별시,강북구,꿈의숲해링턴플레이스(국평),https://new.land.naver.com/complexes/116048,2019.09.,"1,028세대(기타임대 88세대 포함, 총17동)",11억3천,7억3천,8억9천,8억4천,-25,51건,9건,6억,57,4억9천300,10건
서울특별시,강북구,래미안트리베라1단지(국평),https://new.land.naver.com/complexes/116048,2010.05.28.,"1,247세대(기타임대 212세대 포함, 총24동)",10억8천500,7억7천,8억7천,8억2천,-24,26건,3건,6억,60,4억6천,12건
서울특별시,강북구,꿈의숲롯데캐슬(소형),https://new.land.naver.com/complexes/109039,2017.02.,"615세대(기타임대 105세대 포함, 총11동)",9억4천,6억9천,7억9천,8억,-14,8건,0건,4억8천,56,4억8천,1건
서울특별시,강북구,꿈의숲롯데캐슬(국평),https://new.land.naver.com/complexes/109039,2017.02.,"615세대(기타임대 105세대 포함, 총11동)",11억7천,7억,0,7억9천500,-32,20건,6건,5억5천,46,5억4천,2건
서울특별시,강북구,꿈의숲해링턴플레이스(소형),https://new.land.naver.com/complexes/116048,2019.09.,"1,028세대(기타임대 88세대 포함, 총17동)",9억3천800,7억,7억7천,7억9천,-15,23건,0건,4억8천,56,4억8천,1건
서울특별시,강북구,두산위브트레지움(국평),https://new.land.naver.com/complexes/27413,2011.10.31.,"1,370세대(기타임대 234세대 포함, 총24동)",9억5천,6억,8억1천,7억8천,-17,34건,0건,5억,53,5억,1건
서울특별시,강북구,래미안트리베라1단지(소형),https://new.land.naver.com/complexes/27413,2010.05.28.,"1,247세대(기타임대 212세대 포함, 총24동)",9억1천700,6억5천,7억2천,7억1천,-22,9건,2건,4억8천,61,4억8천,2건
서울특별시,강북구,두산위브트레지움(소형),https://new.land.naver.com/complexes/27413,2011.10.31.,"1,370세대(기타임대 234세대 포함, 총24동)",8억3천500,6억1천,6억7천200,6억9천,-17,13건,0건,4억6천,61,4억3천,4건
서울특별시,강북구,에스케이북한산시티(국평),https://new.land.naver.com/complexes/3098,2004.05.07.,"3,830세대(47동)",8억9천,5억3천,6억3천,6억5천,-26,63건,31건,5억,62,4억3천,7건
서울특별시,강북구,벽산라이브파크(국평),https://new.land.naver.com/complexes/3099,2004.08.07.,"1,585세대(19동)",8억3천,5억7천900,6억2천,5억8천,-30,22건,8건,4억5천,57,4억,4건
서울특별시,강북구,에스케이북한산시티(소형),https://new.land.naver.com/complexes/3098,2004.05.07.,"3,830세대(47동)",7억8천,4억8천400,5억5천,5억7천,-26,37건,26건,3억9천,58,3억8천,5건
서울특별시,강북구,벽산라이브파크(소형),https://new.land.naver.com/complexes/3099,2004.08.07.,"1,585세대(19동)",7억2천,4억5천900,4억9천,5억4천,-25,15건,12건,3억6천,60,3억4천,4건
서울특별시,강서구,마곡엠밸리7단지(국평),https://new.land.naver.com/complexes/107477,2014.06.12.,"1,004세대(국민임대 81세대, 장기전세 257세대 포함, 총13동)",17억5천,14억4천,17억,17억,-2,8건,0건,8억5천,45,7억,2건
서울특별시,강서구,마곡엠밸리12단지(국평),https://new.land.naver.com/complexes/112281,2016.09.12.,"363세대(기타임대 269세대 포함, 총6동)",16억7천,11억9천700,0,15억,-10,4건,0건,,,,
서울특별시,강서구,e편한세상염창(국평),https://new.land.naver.com/complexes/115965,2019.03.,"499세대(기타임대 56세대 포함, 총6동)",15억2천,11억,0,14억2천,-6,4건,0건,9억,60,8억7천,2건
서울특별시,강서구,마곡힐스테이트(국평),https://new.land.naver.com/complexes/108359,2017.08.03.,"603세대(장기전세 59세대 포함, 총8동)",15억500,11억6천,14억3천500,13억8천,-8,24건,0건,8억,47,7억3천,8건
서울특별시,강서구,마곡엠밸리9단지(국평),https://new.land.naver.com/complexes/131224,2021.02.15.,"1,529세대(국민임대 512세대, 공공임대 55세대 포함, 총19동)",14억8천500,10억6천,13억8천500,13억8천,-7,19건,0건,8억,50,7억3천,8건
서울특별시,강서구,마곡13단지힐스테이트마스터(국평),https://new.land.naver.com/complexes/109799,2017.04.10.,"1,194세대(22동)",16억8천,10억9천,14억1천,13억3천,-20,51건,1건,8억5천,47,8억1천,8건
서울특별시,강서구,마곡엠밸리12단지(소형),https://new.land.naver.com/complexes/112281,2016.09.12.,"363세대(기타임대 269세대 포함, 총6동)",12억,10억9천500,0,13억,8,2건,0건,6억7천,52,6억5천,2건
서울특별시,강서구,강서힐스테이트(국평),https://new.land.naver.com/complexes/103305,2015.08.19.,"2,603세대(37동)",14억5천,11억,12억8천,13억,-10,37건,0건,8억,54,7억5천,11건
서울특별시,강서구,우장산힐스테이트(국평),https://new.land.naver.com/complexes/11337,2005.05.04.,"2,198세대(40동)",14억9천,10억7천,13억2천700,12억5천,-16,21건,0건,7억8천,49,7억5천,3건
서울특별시,강서구,마곡힐스테이트(소형),https://new.land.naver.com/complexes/108359,2017.08.03.,"603세대(장기전세 59세대 포함, 총8동)",12억6천,9억6천,0,12억2천,-3,3건,0건,6억8천,54,6억5천,2건
서울특별시,강서구,마곡13단지힐스테이트마스터(소형),https://new.land.naver.com/complexes/109799,2017.04.10.,"1,194세대(22동)",13억8천,9억,12억7천,12억,-13,20건,0건,6억8천,50,6억1천500,5건
서울특별시,강서구,e편한세상염창(소형),https://new.land.naver.com/complexes/115965,2019.03.,"499세대(기타임대 56세대 포함, 총6동)",13억3천500,8억4천500,8억5천300,12억,-10,8건,0건,7억9천,61,7억3천,3건
서울특별시,강서구,"우장산아이파크,이편한세상(국평)",https://new.land.naver.com/complexes/115965,2008.01.08.,"2,517세대(42동)",14억,9억500,11억5천,11억8천,-15,44건,0건,7억6천,48,7억,12건
서울특별시,강서구,마곡엠밸리9단지(소형),https://new.land.naver.com/complexes/131224,2021.02.15.,"1,529세대(국민임대 512세대, 공공임대 55세대 포함, 총19동)",12억3천,10억1천,12억3천,11억1천,-9,13건,0건,6억8천,52,5억8천800,5건
서울특별시,강서구,우장산힐스테이트(소형),https://new.land.naver.com/complexes/11337,2005.05.04.,"2,198세대(40동)",12억,8억6천,11억1천,10억7천,-10,19건,0건,6억8천,53,6억,3건
서울특별시,강서구,강서힐스테이트(소형),https://new.land.naver.com/complexes/103305,2015.08.19.,"2,603세대(37동)",12억4천500,8억2천,10억,10억3천,-17,26건,0건,6억5천,54,5억8천,9건
서울특별시,강서구,마곡수명산파크1단지(국평),https://new.land.naver.com/complexes/25967,2007.11.01.,"1,421세대(국민임대 841세대 포함, 총16동)",13억,8억7천,10억1천,10억,-23,32건,2건,6억,46,6억,2건
서울특별시,강서구,"우장산아이파크,이편한세상(소형)",https://new.land.naver.com/complexes/25967,2008.01.08.,"2,517세대(42동)",11억9천,7억2천,10억6천,9억8천,-17,20건,0건,6억6천,54,6억5천,2건
서울특별시,강서구,마곡수명산파크4단지(국평),https://new.land.naver.com/complexes/26123,2008.02.20.,"919세대(장기전세 289세대 포함, 총14동)",12억,7억4천,9억7천,9억7천,-19,14건,0건,6억,52,6억,1건
서울특별시,강서구,등촌동아이파크(국평),https://new.land.naver.com/complexes/13859,2004.01.07.,"1,653세대(29동)",12억9천500,8억700,9억1천,9억3천,-28,19건,7건,6억7천,58,6억1천,6건
서울특별시,강서구,마곡수명산파크4단지(소형),https://new.land.naver.com/complexes/26123,2008.02.20.,"919세대(장기전세 289세대 포함, 총14동)",9억4천,6억8천,8억2천500,8억3천,-11,14건,0건,5억2천,52,5억,6건
서울특별시,강서구,가양6단지(소형),https://new.land.naver.com/complexes/1347,1992.11.18.,"1,476세대(15동)",9억9천500,7억1천,8억,7억9천,-20,11건,2건,4억5천,47,3억8천,3건
서울특별시,관악구,e편한세상서울대입구2단지(국평),https://new.land.naver.com/complexes/1347,2019.06.25.,"1,531세대(기타임대 299세대 포함, 총22동)",13억3천,9억4천,11억5천500,11억,-17,102건,0건,8억,59,6억8천,30건
서울특별시,관악구,e편한세상서울대입구2단지(소형),https://new.land.naver.com/complexes/1347,2019.06.25.,"1,531세대(기타임대 299세대 포함, 총22동)",11억7천500,8억8천400,9억7천500,10억5천,-10,24건,0건,6억6천,55,6억2천,10건
서울특별시,관악구,두산(국평),https://new.land.naver.com/complexes/3034,2000.12.28.,"2,001세대(25동)",13억2천,8억6천500,9억6천500,9억4천,-28,12건,12건,6억6천,63,5억9천,9건
서울특별시,관악구,관악푸르지오(국평),https://new.land.naver.com/complexes/2988,2004.08.26.,"2,104세대(23동)",11억4천900,8억,9억5천,9억,-21,28건,1건,6억5천,57,5억3천,7건
서울특별시,관악구,신림푸르지오(국평),https://new.land.naver.com/complexes/8877,2005.06.21.,"1,456세대(23동)",11억6천,8억,8억8천,8억9천,-23,32건,7건,6억2천,56,5억2천,7건
서울특별시,관악구,두산(소형),https://new.land.naver.com/complexes/3034,2000.12.28.,"2,001세대(25동)",9억9천500,6억5천,8억2천,8억2천,-17,19건,0건,5억7천,59,4억7천250,12건
서울특별시,관악구,신림푸르지오(소형),https://new.land.naver.com/complexes/8877,2005.06.21.,"1,456세대(23동)",8억9천600,7억500,0,7억8천,-12,6건,0건,,,,
서울특별시,관악구,관악푸르지오(소형),https://new.land.naver.com/complexes/2988,2004.08.26.,"2,104세대(23동)",9억4천,5억2천500,7억3천800,7억7천,-18,33건,0건,5억,56,4억5천,7건
서울특별시,관악구,신림현대(국평),https://new.land.naver.com/complexes/58,1993.05.25.,"1,634세대(12동)",10억,7억,0,7억,-30,16건,15건,4억5천,50,4억3천,2건
서울특별시,관악구,관악산휴먼시아2단지(국평),https://new.land.naver.com/complexes/8895,2008.03.13.,"2,265세대(32동)",8억6천,5억7천,6억6천,6억,-30,32건,5건,5억1천,62,4억2천,10건
